datetime,open,high,low,close
2022-07-18 17:00:00,138.24,138.244,138.04,138.073
2022-07-18 18:00:00,138.071,138.116,137.98,138.08
2022-07-18 19:00:00,138.077,138.129,137.97,138.043
2022-07-18 20:00:00,138.043,138.099,137.97,138.058
2022-07-18 21:00:00,138.059,138.156,138.03,138.131
2022-07-18 22:00:00,138.121,138.18,138.02,138.122
2022-07-18 23:00:00,138.122,138.252,138.08,138.245
2022-07-19 00:00:00,138.24,138.352,138.13,138.257
2022-07-19 01:00:00,138.256,138.393,138.16,138.237
2022-07-19 02:00:00,138.235,138.307,138.13,138.14
2022-07-19 03:00:00,138.172,138.289,138.12,138.189
2022-07-19 04:00:00,138.189,138.196,137.95,137.998
2022-07-19 05:00:00,137.96,138.109,137.91,138.06
2022-07-19 06:00:00,138.08,138.108,137.91,137.99
2022-07-19 07:00:00,138.0,138.0,137.67,137.804
2022-07-19 08:00:00,137.803,138.021,137.68,137.734
2022-07-19 09:00:00,137.737,137.807,137.59,137.722
2022-07-19 10:00:00,137.72,137.762,137.56,137.691
2022-07-19 11:00:00,137.692,137.7,137.45,137.478
2022-07-19 12:00:00,137.479,137.544,137.35,137.474
2022-07-19 13:00:00,137.479,137.763,137.45,137.641
2022-07-19 14:00:00,137.646,137.689,137.41,137.657
2022-07-19 15:00:00,137.659,137.965,137.47,137.871
2022-07-19 16:00:00,137.872,137.966,137.7,137.938
2022-07-19 17:00:00,137.938,138.05,137.83,138.041
2022-07-19 18:00:00,138.041,138.171,138.0,138.16
2022-07-19 19:00:00,138.16,138.243,138.12,138.198
2022-07-19 20:00:00,138.199,138.245,138.14,138.22
2022-07-19 21:00:00,138.227,138.248,138.086,138.182
2022-07-19 22:00:00,138.141,138.19,138.126,138.161
2022-07-19 23:00:00,138.169,138.203,138.11,138.159
2022-07-20 00:00:00,138.167,138.239,138.11,138.18
2022-07-20 01:00:00,138.184,138.376,138.06,138.151
2022-07-20 02:00:00,138.152,138.208,137.89,138.051
2022-07-20 03:00:00,138.051,138.226,138.01,138.112
2022-07-20 04:00:00,138.112,138.182,138.01,138.097
2022-07-20 05:00:00,138.095,138.113,137.93,137.988
2022-07-20 06:00:00,137.995,138.117,137.87,138.073
2022-07-20 07:00:00,138.08,138.333,138.02,138.171
2022-07-20 08:00:00,138.173,138.206,138.02,138.131
2022-07-20 09:00:00,138.132,138.268,138.06,138.253
2022-07-20 10:00:00,138.253,138.255,138.04,138.155
2022-07-20 11:00:00,138.148,138.254,138.08,138.185
2022-07-20 12:00:00,138.188,138.249,138.04,138.12
2022-07-20 13:00:00,138.143,138.225,138.01,138.061
2022-07-20 14:00:00,138.064,138.143,137.94,138.087
2022-07-20 15:00:00,138.088,138.232,138.0,138.092
2022-07-20 16:00:00,138.092,138.191,137.99,138.168
2022-07-20 17:00:00,138.168,138.28,138.13,138.256
2022-07-20 18:00:00,138.256,138.282,138.15,138.27
2022-07-20 19:00:00,138.272,138.292,138.2,138.255
2022-07-20 20:00:00,138.254,138.295,138.18,138.208
2022-07-20 21:00:00,138.213,138.306,138.15,138.201
2022-07-20 22:00:00,138.27,138.27,138.147,138.24
2022-07-20 23:00:00,138.24,138.304,138.18,138.258
2022-07-21 00:00:00,138.25,138.472,138.18,138.415
2022-07-21 01:00:00,138.415,138.554,138.36,138.459
2022-07-21 02:00:00,138.464,138.471,138.18,138.321
2022-07-21 03:00:00,138.321,138.414,138.22,138.329
2022-07-21 04:00:00,138.337,138.518,137.974,138.28
2022-07-21 05:00:00,138.28,138.287,138.04,138.17
2022-07-21 06:00:00,138.166,138.227,138.08,138.227
2022-07-21 07:00:00,138.23,138.362,138.12,138.318
2022-07-21 08:00:00,138.315,138.657,138.27,138.589
2022-07-21 09:00:00,138.591,138.69,138.43,138.66
2022-07-21 10:00:00,138.655,138.879,138.61,138.727
2022-07-21 11:00:00,138.721,138.779,138.56,138.583
2022-07-21 12:00:00,138.585,138.754,138.54,138.749
2022-07-21 13:00:00,138.745,138.85,138.28,138.398
2022-07-21 14:00:00,138.396,138.533,138.23,138.307
2022-07-21 15:00:00,138.307,138.328,137.73,137.842
2022-07-21 16:00:00,137.843,138.076,137.68,137.966
2022-07-21 17:00:00,137.963,138.016,137.81,137.941
2022-07-21 18:00:00,137.942,137.943,137.77,137.831
2022-07-21 19:00:00,137.829,137.835,137.64,137.688
2022-07-21 20:00:00,137.69,137.707,137.45,137.512
2022-07-21 21:00:00,137.515,137.573,137.27,137.363
2022-07-21 22:00:00,137.347,137.43,137.32,137.368
2022-07-21 23:00:00,137.366,137.558,137.36,137.433
2022-07-22 00:00:00,137.434,137.444,137.0,137.08
2022-07-22 01:00:00,137.077,137.361,137.01,137.352
2022-07-22 02:00:00,137.357,137.525,137.26,137.434
2022-07-22 03:00:00,137.435,137.596,137.38,137.56
2022-07-22 04:00:00,137.559,137.746,137.5,137.649
2022-07-22 05:00:00,137.653,137.901,137.57,137.869
2022-07-22 06:00:00,137.872,137.956,137.78,137.899
2022-07-22 07:00:00,137.899,137.955,137.63,137.723
2022-07-22 08:00:00,137.723,137.775,137.48,137.582
2022-07-22 09:00:00,137.582,137.757,137.52,137.638
2022-07-22 10:00:00,137.638,137.639,137.25,137.372
2022-07-22 11:00:00,137.367,137.534,137.25,137.295
2022-07-22 12:00:00,137.29,137.35,136.77,136.895
2022-07-22 13:00:00,136.894,136.997,136.58,136.854
2022-07-22 14:00:00,136.851,136.883,135.87,136.023
2022-07-22 15:00:00,136.026,136.192,135.54,136.08
2022-07-22 16:00:00,136.08,136.249,135.94,136.138
2022-07-22 17:00:00,136.135,136.241,135.96,136.019
2022-07-22 18:00:00,136.018,136.112,135.85,136.056
2022-07-22 19:00:00,136.057,136.28,136.01,136.184
2022-07-22 20:00:00,136.182,136.25,135.96,135.991
2022-07-22 21:00:00,135.991,136.196,135.96,136.035
2022-07-24 23:00:00,136.117,136.333,136.093,136.28
2022-07-25 00:00:00,136.29,136.418,136.24,136.343
2022-07-25 01:00:00,136.337,136.612,136.32,136.52
2022-07-25 02:00:00,136.529,136.553,136.04,136.097
2022-07-25 03:00:00,136.096,136.233,135.86,136.162
2022-07-25 04:00:00,136.159,136.322,136.1,136.263
2022-07-25 05:00:00,136.27,136.291,136.05,136.207
2022-07-25 06:00:00,136.21,136.381,136.18,136.304
2022-07-25 07:00:00,136.305,136.466,136.24,136.421
2022-07-25 08:00:00,136.419,136.48,136.23,136.4
2022-07-25 09:00:00,136.407,136.481,136.25,136.407
2022-07-25 10:00:00,136.406,136.456,136.19,136.29
2022-07-25 11:00:00,136.297,136.442,136.24,136.424
2022-07-25 12:00:00,136.42,136.644,136.34,136.617
2022-07-25 13:00:00,136.612,136.746,136.51,136.543
2022-07-25 14:00:00,136.543,136.603,136.42,136.53
2022-07-25 15:00:00,136.537,136.763,136.39,136.688
2022-07-25 16:00:00,136.683,136.789,136.61,136.727
2022-07-25 17:00:00,136.728,136.748,136.6,136.695
2022-07-25 18:00:00,136.699,136.731,136.62,136.703
2022-07-25 19:00:00,136.703,136.73,136.56,136.72
2022-07-25 20:00:00,136.727,136.727,136.61,136.645
2022-07-25 21:00:00,136.641,136.683,136.57,136.674
2022-07-25 22:00:00,136.658,136.696,136.63,136.646
2022-07-25 23:00:00,136.66,136.662,136.51,136.54
2022-07-26 00:00:00,136.543,136.552,136.32,136.412
2022-07-26 01:00:00,136.413,136.536,136.25,136.418
2022-07-26 02:00:00,136.418,136.467,136.28,136.335
2022-07-26 03:00:00,136.336,136.471,136.29,136.462
